,映画（作品名）,年,月,日,公開日
0,アウトレイジ 最終章,2017,10,8,20171008
1,亜人,2017,10,8,20171008
2,ナラタージュ,2017,10,8,20171008
3,僕のワンダフル・ライフ,2017,10,8,20171008
4,ナミヤ雑貨店の奇蹟,2017,10,8,20171008
5,ドリーム,2017,10,8,20171008
6,ダンケルク,2017,10,8,20171008
7,宝塚歌劇 月組東京宝塚劇場公演「Ａｌｌ ｆｏｒ Ｏｎｅ」千秋楽 ライブ中継,2017,10,8,20171008
8,ＴＨＥ ＩＤＯＬＭ＠ＳＴＥＲ ７６５ ＭＩＬＬＩＯＮＳＴＡＲＳ ＨＯＴＣＨＰＯＴＣＨ フェスティバル,2017,10,8,20171008
9,三度目の殺人,2017,10,8,20171008
10,あさひなぐ,2017,10,8,20171008
11,怪盗グルーのミニオン大脱走,2017,10,8,20171008
12,関ヶ原,2017,10,8,20171008
13,エイリアン コヴェナント,2017,10,8,20171008
14,劇団シャイニング ｆｒｏｍ うたの☆プリンスさまっ♪「マスカレイドミラージュ」大千秋楽ＬＶ,2017,10,8,20171008
15,レゴ ニンジャゴー ザ・ムービー,2017,10,8,20171008
16,君の膵臓をたべたい,2017,10,8,20171008
17,劇場版 響け！ユーフォニアム～届けたいメロディ～,2017,10,8,20171008
18,エルネスト,2017,10,8,20171008
19,ハイキュー！！コンセプトの戦い,2017,10,8,20171008
20,デジモンアドベンチャーｔｒｉ．第５章「共生」,2017,10,8,20171008
21,ユリゴコロ,2017,10,8,20171008
22,ユーリ！！！ ｏｎ ＩＣＥ,2017,10,8,20171008
23,奥田民生になりたいボーイと出会う男すべて狂わせるガール,2017,10,8,20171008
24,打ち上げ花火、下から見るか？横から見るか？,2017,10,8,20171008
47,スクランブル,2017,10,9,20171009
48,あゝ、荒野 前篇,2017,10,9,20171009
49,シネマ歌舞伎 四谷怪談,2017,10,9,20171009
108,井上芳雄 ｂｙ ＭＹＳＥＬＦ ＳＰＥＣＩＡＬ ’ＬＩＶＥ” ライブ・ビューイング,2017,10,12,20171012
125,猿の惑星：聖戦記（グレート・ウォー）,2017,10,13,20171013
148,ブレードランナー ファイナルカット,2017,10,13,20171013
159,恋と嘘,2017,10,14,20171014
164,弱虫ペダル Ｒｅ：ＧＥＮＥＲＡＴＩＯＮ,2017,10,14,20171014
165,アナベル 死霊館の人形,2017,10,14,20171014
170,ＡＤ－ＬＩＶＥ ２０１７ ライブ・ビューイング,2017,10,14,20171014
175,Ｆａｔｅ／ｓｔａｙ ｎｉｇｈｔ Ｈｅａｖｅｎｓ Ｆｅｅｌ 第一章,2017,10,15,20171015
208,宇宙戦艦ヤマト２２０２ 愛の戦士たち 第三章,2017,10,16,20171016
301,アトミック・ブロンド,2017,10,20,20171020
314,女神の見えざる手,2017,10,20,20171020
325,ミックス。,2017,10,21,20171021
326,斉木楠雄のΨ難,2017,10,21,20171021
327,バリー・シール アメリカをはめた男,2017,10,21,20171021
340,ＫＩＮＧ ＯＦ ＰＲＩＳＭ ＰＲＩＤＥ ｔｈｅ ＨＥＲＯ,2017,10,21,20171021
341,ＤＣスーパーヒーローズ ｖｓ 鷹の爪団,2017,10,21,20171021
360,コードギアス 反逆のルルーシュⅠ 興道,2017,10,22,20171022
367,劇場版 岩合光昭の世界ネコ歩き コトラ家族と世界のいいコたち,2017,10,22,20171022
374,「ミュージックレインフェスティバル２０１７」ライブ・ビューイング,2017,10,22,20171022
385,ＷＯＯＹＯＵＮＧ Ｓｏｌｏ Ｔｏｕｒ ２０１７ ’まだ僕は・・・” ライブ・ビューイング,2017,10,23,20171023
424,あゝ、荒野 後篇,2017,10,24,20171024
447,月イチ歌舞伎 スーパー歌舞伎ヤマトタケル,2017,10,25,20171025
492,ブレードランナー ２０４９（ＤＯＬＢＹ－ＡＴＭＯＳ・字幕版）,2017,10,27,20171027
493,ゲキ×シネ ＴＩＭＥ 「髑髏城の七人（２０１３年版）」,2017,10,27,20171027
500,映画キラキラ☆プリキュアアラモード パリッと！想い出のミルフィーユ！,2017,10,28,20171028
501,ブレードランナー ２０４９,2017,10,28,20171028
516,彼女がその名を知らない鳥たち,2017,10,28,20171028
519,Ａ３！ ＦＩＲＳＴ Ｂｌｏｏｍｉｎｇ ＦＥＳＴＩＶＡＬ ライブビューイング,2017,10,28,20171028
532,特別版 Ｆｒｅｅ！－Ｔａｋｅ Ｙｏｕｒ Ｍａｒｋｓ－,2017,10,29,20171029
541,ゲット・アウト,2017,10,29,20171029
548,Ｋｉｒａｍｕｎｅ Ｐｒｅｓｅｎｔｓ Ｊｏｉｎｔ Ｃｏｎｃｅｒｔ ’ＶＥＲＳＵＳ” ｉｎ Ｔａｉｗａｎ,2017,10,29,20171029
