,映画（作品名）,年,月,日,公開日
383,プロジェクトセカイ ＣＯＬＯＲＦＵＬ ＬＩＶＥ １ｓｔ －Ｌｉｎｋ－ ライブビューイング,2022,1,30,20220130
384,宝塚歌劇 月組宝塚大劇場公演「今夜、ロマンス劇場で」「ＦＵＬＬ ＳＷＩＮＧ！」千秋楽ＬＶ,2022,1,31,20220131
385,鹿の王 ユナと約束の旅,2022,2,4,20220204
386,ゴーストバスターズ アフターライフ,2022,2,4,20220204
387,宇宙戦艦ヤマト２２０５ 新たなる旅立ち 後章 ＳＴＡＳＨＡ,2022,2,4,20220204
388,Ｓｔｉｌｌ Ｄｒｅａｍｉｎ ～布袋寅泰情熱と栄光のギタリズム～,2022,2,4,20220204
389,パイプライン,2022,2,4,20220204
390,大怪獣のあとしまつ,2022,2,5,20220205
391,３５５,2022,2,6,20220206
392,エクストリーム・ジョブ,2022,2,6,20220206
393,嘘喰い,2022,2,11,20220211
394,ちょっと思い出しただけ,2022,2,11,20220211
395,ザユナイテッドステイツｖｓ．ビリーホリデイ,2022,2,11,20220211
396,ザ・ビートルズ ＧＥＴ ＢＡＣＫ：ルーフトップ・コンサート,2022,2,12,20220212
397,ウエスト・サイド・ストーリー,2022,2,15,20220215
398,アンチャーテッド,2022,2,18,20220218
399,愛国女子－紅武士道,2022,2,18,20220218
400,牛首村,2022,2,18,20220218
401,グッバイ、ドン・グリーズ！,2022,2,18,20220218
402,オペレーション・ミンスミート －ナチを欺いた死体－,2022,2,18,20220218
403,劇場版 舞台「刀剣乱舞」ジョ伝 三つら星刀語り,2022,2,18,20220218
404,フルーツバスケット －ｐｒｅｌｕｄｅ－,2022,2,19,20220219
405,君が落とした青空,2022,2,22,20220222
406,ドリームプラン,2022,2,23,20220223
407,ナイル殺人事件,2022,2,25,20220225
408,シラノ,2022,2,25,20220225
409,ＤＥＥＭＯ サクラノオト あなたの奏でた音が、今も響く,2022,2,25,20220225
410,ゴヤの名画と優しい泥棒,2022,2,25,20220225
411,あんさんぶるスターズ！！ Ｒｏａｄ ｔｏ Ｓｈｏｗ！！（先行上映会）,2022,2,26,20220226
412,仮面ライダーオーズ １０ｔｈ 復活のコアメダル,2022,2,28,20220228
413,愛国女子−紅武士道,2022,3,1,20220301
414,フルーツバスケット −ｐｒｅｌｕｄｅ−,2022,3,3,20220303
415,映画ドラえもん のび太の宇宙小戦争 ２０２１,2022,3,4,20220304
416,あんさんぶるスターズ！！ Ｒｏａｄ ｔｏ Ｓｈｏｗ！！,2022,3,4,20220304
417,ＭＡＮＫＡＩ ＭＯＶＩＥ「Ａ３！」ＡＵＴＵＭＮ＆ＷＩＮＴＥＲ,2022,3,5,20220305
418,ブルーサーマル,2022,3,5,20220305
419,余命１０年,2022,3,6,20220306
420,銀河英雄伝説 Ｄｉｅ Ｎｅｕｅ Ｔｈｅｓｅ 激突 第一章,2022,3,6,20220306
421,ＴＨＥ ＢＡＴＭＡＮ −ザ・バットマン−,2022,3,11,20220311
422,えいがのおそ松さん,2022,3,11,20220311
423,ＪＯ１ ＴＨＥ ＭＯＶＩＥ「未完成」−Ｇｏ ｔｏ ｔｈｅ ＴＯＰ−,2022,3,12,20220312
424,ウェディング・ハイ,2022,3,12,20220312
425,映画しまじろう しまじろうと キラキラおうこくの おうじさま,2022,3,12,20220312
426,ミュージカル「刀剣乱舞」〜江水散花雪〜ライブビューイング,2022,3,13,20220313
427,ＫＡＰＰＥＩ カッペイ,2022,3,18,20220318
428,ガンパウダー・ミルクシェイク,2022,3,18,20220318
429,劇場版ウルトラマンタイガ ニュージェネクライマックス,2022,3,18,20220318
430,Ａｄａｍ ｂｙ Ｅｖｅ： Ａ Ｌｉｖｅ ｉｎ Ａｎｉｍａｔｉｏｎ,2022,3,18,20220318
431,ＳＩＮＧ シング ネクストステージ,2022,3,19,20220319
432,映画おしりたんてい シリアーティ,2022,3,19,20220319
433,ウルトラマントリガー エピソードＺ,2022,3,20,20220320
434,無発声応援上映 「ＡＲＡＳＨＩ Ａｎｎｉｖｅｒｓａｒｙ Ｔｏｕｒ ５×２０ ＦＩＬＭ ’Ｒｅｃｏｒｄ ｏｆ Ｍｅｍｏｒｉｅｓ”」（７．１ｃｈＬＺ）,2022,3,22,20220322
435,映画 おそ松さん,2022,3,25,20220325
436,ナイトメア・アリー,2022,3,25,20220325
437,ベルファスト,2022,3,25,20220325
438,ツーアウトフルベース,2022,3,25,20220325
439,アンビュランス,2022,3,26,20220326
440,映画 きかんしゃトーマス オールスター☆パレード,2022,3,29,20220329
441,オートクチュール,2022,3,30,20220330
